,SchoolDist,OfnsDesc,CrimeCount
0,1,OFFENSES AGAINST PUBLIC ADMINI,3
1,1,OFF. AGNST PUB ORD SENSBLTY &,56
2,1,OTHER STATE LAWS (NON PENAL LA,7
3,1,FELONY ASSAULT,223
4,1,CRIMINAL MISCHIEF & RELATED OF,10
5,1,RAPE,8
6,1,PROSTITUTION & RELATED OFFENSES,8
7,1,DANGEROUS WEAPONS,145
8,1,MISCELLANEOUS PENAL LAW,147
9,1,OTHER STATE LAWS,13
10,1,CRIMINAL MISCHIEF & RELATED OFFENSES,200
11,1,OTHER OFFENSES RELATED TO THEFT,48
12,1,BURGLAR'S TOOLS,22
13,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,47
14,1,GRAND LARCENY,197
15,1,CHILD ABANDONMENT/NON SUPPORT,1
16,1,FRAUDS,8
17,1,ASSAULT 3 & RELATED OFFENSES,599
18,1,INTOXICATED & IMPAIRED DRIVING,45
19,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,185
20,1,FORCIBLE TOUCHING,9
21,1,POSSESSION OF STOLEN PROPERTY,22
22,1,OFFENSES INVOLVING FRAUD,11
23,1,OFFENSES AGAINST PUBLIC SAFETY,1
24,1,OFFENSES AGAINST THE PERSON,9
25,1,MURDER & NON-NEGL. MANSLAUGHTER,1
26,1,FORGERY,55
27,1,HARRASSMENT 2,1
28,1,FRAUDULENT ACCOSTING,1
29,1,DANGEROUS DRUGS,693
30,1,NYS LAWS-UNCLASSIFIED FELONY,7
31,1,F.C.A. P.I.N.O.S.,7
32,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),7
33,1,GRAND LARCENY OF MOTOR VEHICLE,4
34,1,PETIT LARCENY,297
35,1,DISORDERLY CONDUCT,17
36,1,ROBBERY,123
37,1,OTHER TRAFFIC INFRACTION,35
38,1,POSSESSION OF STOLEN PROPERTY 5,27
39,1,ARSON,4
40,1,THEFT-FRAUD,26
41,1,KIDNAPPING & RELATED OFFENSES,2
42,1,BURGLARY,133
43,1,GAMBLING,2
44,1,INTOXICATED/IMPAIRED DRIVING,5
45,1,OTHER STATE LAWS (NON PENAL LAW),4
46,1,VEHICLE AND TRAFFIC LAWS,375
47,1,CRIMINAL TRESPASS,240
48,1,SEX CRIMES,31
49,1,ALCOHOLIC BEVERAGE CONTROL LAW,2
50,1,ADMINISTRATIVE CODE,6
51,2,INTOXICATED/IMPAIRED DRIVING,24
52,2,CHILD ABANDONMENT/NON SUPPORT 1,1
53,2,PROSTITUTION & RELATED OFFENSES,181
54,2,CRIMINAL MISCHIEF & RELATED OF,31
55,2,F.C.A. P.I.N.O.S.,634
56,2,OFFENSES AGAINST PUBLIC SAFETY,3
57,2,SEX CRIMES,317
58,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,346
59,2,DANGEROUS WEAPONS,716
60,2,OTHER TRAFFIC INFRACTION,327
61,2,DISRUPTION OF A RELIGIOUS SERVICE,1
62,2,KIDNAPPING & RELATED OFFENSES,7
63,2,OFFENSES RELATED TO CHILDREN,1
64,2,RAPE,34
65,2,NEW YORK CITY HEALTH CODE,1
66,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),35
67,2,FORCIBLE TOUCHING,99
68,2,LOITERING,1
69,2,OTHER STATE LAWS,293
70,2,POSSESSION OF STOLEN PROPERTY,201
71,2,OFFENSES INVOLVING FRAUD,254
72,2,BURGLAR'S TOOLS,247
73,2,ESCAPE 3,6
74,2,INTOXICATED & IMPAIRED DRIVING,477
75,2,ENDAN WELFARE INCOMP,6
76,2,ARSON,6
77,2,OFFENSES AGAINST PUBLIC ADMINI,1
78,2,THEFT-FRAUD,178
79,2,PETIT LARCENY,6166
80,2,FRAUDS,139
81,2,MURDER & NON-NEGL. MANSLAUGHTER,52
82,2,OTHER OFFENSES RELATED TO THEFT,1647
83,2,VEHICLE AND TRAFFIC LAWS,1564
84,2,GRAND LARCENY OF MOTOR VEHICLE,33
85,2,NYS LAWS-UNCLASSIFIED FELONY,16
86,2,JOSTLING,29
87,2,HARRASSMENT 2,15
88,2,ROBBERY,891
89,2,OFFENSES AGAINST THE PERSON,146
90,2,ALCOHOLIC BEVERAGE CONTROL LAW,15
91,2,CRIMINAL MISCHIEF & RELATED OFFENSES,1131
92,2,FELONY ASSAULT,986
93,2,ADMINISTRATIVE CODE,74
94,2,GAMBLING,14
95,2,MISCELLANEOUS PENAL LAW,733
96,2,ANTICIPATORY OFFENSES,18
97,2,OTHER STATE LAWS (NON PENAL LA,44
98,2,FRAUDULENT ACCOSTING,75
99,2,OFFENSES AGAINST PUBLIC ADMINISTRATION,824
100,2,OTHER STATE LAWS (NON PENAL LAW),170
101,2,DISORDERLY CONDUCT,161
102,2,MOVING INFRACTIONS,10
103,2,BURGLARY,793
104,2,GRAND LARCENY,3551
105,2,DANGEROUS DRUGS,2976
106,2,POSSESSION OF STOLEN PROPERTY 5,173
107,2,CRIMINAL TRESPASS,795
108,2,OFF. AGNST PUB ORD SENSBLTY &,166
109,2,FORGERY,758
110,2,ASSAULT 3 & RELATED OFFENSES,2648
111,3,GRAND LARCENY OF MOTOR VEHICLE,36
112,3,KIDNAPPING & RELATED OFFENSES,3
113,3,JOSTLING,1
114,3,RAPE,2
115,3,POSSESSION OF STOLEN PROPERTY,32
116,3,FELONY ASSAULT,240
117,3,VEHICLE AND TRAFFIC LAWS,342
118,3,MURDER & NON-NEGL. MANSLAUGHTER,6
119,3,INTOXICATED/IMPAIRED DRIVING,6
120,3,PROSTITUTION & RELATED OFFENSES,35
121,3,FORCIBLE TOUCHING,2
122,3,FORGERY,64
123,3,PETIT LARCENY,1261
124,3,DANGEROUS WEAPONS,95
125,3,GAMBLING,21
126,3,SEX CRIMES,30
127,3,MOVING INFRACTIONS,3
128,3,F.C.A. P.I.N.O.S.,16
129,3,OTHER TRAFFIC INFRACTION,31
130,3,INTOXICATED & IMPAIRED DRIVING,99
131,3,CRIMINAL MISCHIEF & RELATED OF,4
132,3,OTHER STATE LAWS,20
133,3,THEFT-FRAUD,4
134,3,CRIMINAL TRESPASS,109
135,3,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),4
136,3,DISORDERLY CONDUCT,2
137,3,ARSON,2
138,3,OTHER OFFENSES RELATED TO THEFT,177
139,3,OFF. AGNST PUB ORD SENSBLTY &,28
140,3,DANGEROUS DRUGS,596
141,3,ANTICIPATORY OFFENSES,1
142,3,ASSAULT 3 & RELATED OFFENSES,579
143,3,OFFENSES AGAINST PUBLIC ADMINI,1
144,3,OFFENSES AGAINST PUBLIC ADMINISTRATION,156
145,3,FRAUDS,8
146,3,ALCOHOLIC BEVERAGE CONTROL LAW,11
147,3,ADMINISTRATIVE CODE,1
148,3,MISCELLANEOUS PENAL LAW,153
149,3,POSSESSION OF STOLEN PROPERTY 5,29
150,3,OFFENSES INVOLVING FRAUD,13
151,3,OFFENSES AGAINST THE PERSON,28
152,3,BURGLARY,156
