,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1.0,25-44,M,42001
1,1.0,940,M,1
2,1.0,937,M,1
3,1.0,928,M,1
4,1.0,918,M,1
5,1.0,2000,F,1
6,1.0,1998,M,1
7,1.0,1948,F,1
8,1.0,1918,M,1
9,1.0,1042,M,1
10,1.0,65+,F,115
11,1.0,<18,F,1972
12,1.0,45-64,F,3414
13,1.0,18-24,F,5194
14,1.0,<18,M,6396
15,1.0,65+,M,801
16,1.0,18-24,M,22133
17,1.0,25-44,F,8014
18,1.0,45-64,M,19175
19,2.0,65+,F,56
20,2.0,937,M,3
21,2.0,2007,M,2
22,2.0,1916,M,2
23,2.0,<18,F,1920
24,2.0,18-24,M,21921
25,2.0,45-64,F,2971
26,2.0,45-64,M,13453
27,2.0,25-44,F,7663
28,2.0,<18,M,8977
29,2.0,18-24,F,3775
30,2.0,25-44,M,34688
31,2.0,1018,M,1
32,2.0,1942,M,1
33,2.0,927,F,1
34,2.0,935,M,1
35,2.0,65+,M,477
36,3.0,25-44,M,39948
37,3.0,45-64,M,15335
38,3.0,1024,M,1
39,3.0,18-24,M,24680
40,3.0,65+,F,75
41,3.0,1048,M,1
42,3.0,25-44,F,8711
43,3.0,18-24,F,4309
44,3.0,45-64,F,3240
45,3.0,<18,F,2095
46,3.0,<18,M,10091
47,3.0,65+,M,604
48,4.0,1922,M,1
49,4.0,45-64,M,8514
50,4.0,<18,M,6006
51,4.0,25-44,F,4565
52,4.0,25-44,M,28186
53,4.0,18-24,F,3020
54,4.0,18-24,M,18342
55,4.0,1937,M,1
56,4.0,1947,M,1
57,4.0,938,F,1
58,4.0,65+,M,341
59,4.0,<18,F,1423
60,4.0,1928,F,1
61,4.0,65+,F,53
62,4.0,45-64,F,1638
63,5.0,1953,M,1
64,5.0,<18,F,397
65,5.0,18-24,F,790
66,5.0,25-44,M,5054
67,5.0,18-24,M,3808
68,5.0,25-44,F,1287
69,5.0,65+,F,18
70,5.0,<18,M,1560
71,5.0,45-64,M,1563
72,5.0,929,M,1
73,5.0,65+,M,69
74,5.0,45-64,F,456
