,BoroCode,OfnsDesc,CrimeCount
0,1,DANGEROUS DRUGS,15373
1,1,OFFENSES INVOLVING FRAUD,621
2,1,SEX CRIMES,634
3,1,F.C.A. P.I.N.O.S.,657
4,1,NEW YORK CITY HEALTH CODE,23
5,1,OFFENSES AGAINST PUBLIC SAFETY,22
6,1,HARRASSMENT 2,22
7,1,OTHER TRAFFIC INFRACTION,786
8,1,ANTICIPATORY OFFENSES,21
9,1,JOSTLING,35
10,1,ARSON,18
11,1,KIDNAPPING & RELATED OFFENSES,14
12,1,OFFENSES RELATED TO CHILDREN,13
13,1,INTOXICATED & IMPAIRED DRIVING,1407
14,1,OTHER STATE LAWS (NON PENAL LAW),1433
15,1,FORGERY,1617
16,1,LOITERING FOR DRUG PURPOSES,11
17,1,OTHER STATE LAWS,1887
18,1,CHILD ABANDONMENT/NON SUPPORT 1,9
19,1,BURGLARY,1219
20,1,PROSTITUTION & RELATED OFFENSES,416
21,1,OFFENSES AGAINST THE PERSON,407
22,1,CRIMINAL MISCHIEF & RELATED OF,51
23,1,OTHER STATE LAWS (NON PENAL LA,196
24,1,MURDER & NON-NEGL. MANSLAUGHTER,189
25,1,GRAND LARCENY OF MOTOR VEHICLE,140
26,1,FRAUDS,274
27,1,ALCOHOLIC BEVERAGE CONTROL LAW,130
28,1,FORCIBLE TOUCHING,278
29,1,THEFT-FRAUD,128
30,1,ADMINISTRATIVE CODE,298
31,1,RAPE,118
32,1,FRAUDULENT ACCOSTING,116
33,1,INTOXICATED/IMPAIRED DRIVING,109
34,1,DISORDERLY CONDUCT,320
35,1,POSSESSION OF STOLEN PROPERTY,324
36,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),108
37,1,POSSESSION OF STOLEN PROPERTY 5,326
38,1,BURGLAR'S TOOLS,346
39,1,GAMBLING,349
40,1,MOVING INFRACTIONS,72
41,1,OFF. AGNST PUB ORD SENSBLTY &,375
42,1,ROBBERY,2029
43,1,MISCELLANEOUS PENAL LAW,2072
44,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,944
45,1,DISRUPTION OF A RELIGIOUS SERVICE,2
46,1,VEHICLE AND TRAFFIC LAWS,5241
47,1,ESCAPE 3,4
48,1,ENDAN WELFARE INCOMP,8
49,1,ASSAULT 3 & RELATED OFFENSES,6657
50,1,FELONY ASSAULT,2817
