,SchoolDist,OfnsDesc,CrimeCount
0,1,OFFENSES RELATED TO CHILDREN,5
1,1,ROBBERY,154
2,1,CRIMINAL MISCHIEF & RELATED OFFENSES,302
3,1,CRIMINAL MISCHIEF & RELATED OF,1
4,1,INTOXICATED & IMPAIRED DRIVING,53
5,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,61
6,1,FRAUDS,8
7,1,DANGEROUS DRUGS,1305
8,1,FRAUDULENT ACCOSTING,13
9,1,GAMBLING,8
10,1,OTHER STATE LAWS (NON PENAL LA,8
11,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),8
12,1,FORCIBLE TOUCHING,12
13,1,FORGERY,71
14,1,OFFENSES AGAINST THE PERSON,11
15,1,MISCELLANEOUS PENAL LAW,184
16,1,F.C.A. P.I.N.O.S.,10
17,1,THEFT-FRAUD,10
18,1,ASSAULT 3 & RELATED OFFENSES,691
19,1,LOITERING FOR DRUG PURPOSES,2
20,1,HARRASSMENT 2,2
21,1,ARSON,2
22,1,RAPE,9
23,1,CRIMINAL TRESPASS,369
24,1,DISORDERLY CONDUCT,9
25,1,DANGEROUS WEAPONS,175
26,1,PROSTITUTION & RELATED OFFENSES,50
27,1,OTHER STATE LAWS (NON PENAL LAW),18
28,1,BURGLARY,88
29,1,POSSESSION OF STOLEN PROPERTY 5,23
30,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,238
31,1,INTOXICATED/IMPAIRED DRIVING,6
32,1,SEX CRIMES,39
33,1,GRAND LARCENY,233
34,1,ADMINISTRATIVE CODE,5
35,1,OTHER OFFENSES RELATED TO THEFT,231
36,1,VEHICLE AND TRAFFIC LAWS,270
37,1,CHILD ABANDONMENT/NON SUPPORT 1,1
38,1,BURGLAR'S TOOLS,24
39,1,ALCOHOLIC BEVERAGE CONTROL LAW,1
40,1,GRAND LARCENY OF MOTOR VEHICLE,6
41,1,FELONY ASSAULT,254
42,1,MOVING INFRACTIONS,4
43,1,PETIT LARCENY,352
44,1,JOSTLING,1
45,1,OFF. AGNST PUB ORD SENSBLTY &,44
46,1,OTHER STATE LAWS,48
47,1,MURDER & NON-NEGL. MANSLAUGHTER,20
48,1,POSSESSION OF STOLEN PROPERTY,19
49,1,OFFENSES INVOLVING FRAUD,19
50,1,OTHER TRAFFIC INFRACTION,43
51,2,FORGERY,839
52,2,DANGEROUS WEAPONS,841
53,2,LOITERING,7
54,2,FRAUDULENT ACCOSTING,95
55,2,OFFENSES AGAINST PUBLIC SAFETY,8
56,2,MISCELLANEOUS PENAL LAW,796
57,2,ENDAN WELFARE INCOMP,7
58,2,FRAUDS,104
59,2,THEFT-FRAUD,90
60,2,BURGLARY,761
61,2,OTHER OFFENSES RELATED TO THEFT,6257
62,2,OTHER TRAFFIC INFRACTION,373
63,2,INTOXICATED/IMPAIRED DRIVING,32
64,2,JOSTLING,34
65,2,GRAND LARCENY OF MOTOR VEHICLE,39
66,2,OFFENSES INVOLVING FRAUD,434
67,2,CRIMINAL MISCHIEF & RELATED OF,25
68,2,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),24
69,2,MOVING INFRACTIONS,43
70,2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,416
71,2,NEW YORK CITY HEALTH CODE,19
72,2,RAPE,18
73,2,F.C.A. P.I.N.O.S.,596
