,Precinct,OfnsDesc,CrimeCount
0,1,F.C.A. P.I.N.O.S.,19
1,1,PETIT LARCENY,799
2,1,DANGEROUS WEAPONS,53
3,1,SEX CRIMES,7
4,1,CRIMINAL TRESPASS,48
5,1,OTHER STATE LAWS (NON PENAL LAW),262
6,1,OFFENSES AGAINST PUBLIC SAFETY,4
7,1,OFF. AGNST PUB ORD SENSBLTY &,3
8,1,PROSTITUTION & RELATED OFFENSES,3
9,1,ASSAULT 3 & RELATED OFFENSES,190
10,1,DISORDERLY CONDUCT,44
11,1,OFFENSES AGAINST THE PERSON,9
12,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,37
13,1,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
14,1,JOSTLING,1
15,1,GRAND LARCENY OF MOTOR VEHICLE,1
16,1,BURGLAR'S TOOLS,34
17,1,CRIMINAL MISCHIEF & RELATED OF,1
18,1,OTHER STATE LAWS (NON PENAL LA,1
19,1,OTHER TRAFFIC INFRACTION,158
20,1,MURDER & NON-NEGL. MANSLAUGHTER,1
21,1,CHILD ABANDONMENT/NON SUPPORT 1,2
22,1,OTHER OFFENSES RELATED TO THEFT,479
23,1,ADMINISTRATIVE CODE,29
24,1,OTHER STATE LAWS,439
25,1,DANGEROUS DRUGS,121
26,1,RAPE,2
27,1,ANTICIPATORY OFFENSES,2
28,1,POSSESSION OF STOLEN PROPERTY,22
29,1,FRAUDS,18
30,1,THEFT-FRAUD,7
31,1,FELONY ASSAULT,55
32,1,POSSESSION OF STOLEN PROPERTY 5,19
33,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,88
34,1,FRAUDULENT ACCOSTING,6
35,1,MISCELLANEOUS PENAL LAW,63
36,1,MOVING INFRACTIONS,6
37,1,VEHICLE AND TRAFFIC LAWS,224
38,1,NEW YORK CITY HEALTH CODE,5
39,1,FORCIBLE TOUCHING,6
40,1,INTOXICATED & IMPAIRED DRIVING,68
41,1,CRIMINAL MISCHIEF & RELATED OFFENSES,231
42,1,OFFENSES INVOLVING FRAUD,87
43,1,FORGERY,71
44,1,ROBBERY,69
45,1,BURGLARY,71
46,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),5
47,1,INTOXICATED/IMPAIRED DRIVING,4
48,1,GRAND LARCENY,233
49,5,ASSAULT 3 & RELATED OFFENSES,243
50,5,RAPE,9
51,5,OTHER TRAFFIC INFRACTION,117
52,5,GAMBLING,9
53,5,DANGEROUS WEAPONS,99
54,5,DANGEROUS DRUGS,467
55,5,OTHER STATE LAWS (NON PENAL LAW),459
56,5,PETIT LARCENY,303
57,5,INTOXICATED/IMPAIRED DRIVING,2
58,5,OFFENSES INVOLVING FRAUD,173
59,5,DISORDERLY CONDUCT,15
60,5,ENDAN WELFARE INCOMP,1
61,5,FORGERY,109
62,5,BURGLAR'S TOOLS,13
63,5,CRIMINAL MISCHIEF & RELATED OF,1
64,5,POSSESSION OF STOLEN PROPERTY,13
65,5,OFFENSES AGAINST PUBLIC SAFETY,1
66,5,OFF. AGNST PUB ORD SENSBLTY &,5
67,5,GRAND LARCENY OF MOTOR VEHICLE,13
68,5,FELONY ASSAULT,156
69,5,OFFENSES RELATED TO CHILDREN,1
70,5,VEHICLE AND TRAFFIC LAWS,160
71,5,PROSTITUTION & RELATED OFFENSES,32
72,5,OFFENSES AGAINST PUBLIC ADMINISTRATION,181
73,5,BURGLARY,45
74,5,ESCAPE 3,1
75,5,CRIMINAL MISCHIEF & RELATED OFFENSES,261
76,5,OTHER OFFENSES RELATED TO THEFT,377
77,5,ROBBERY,124
78,5,FRAUDS,17
79,5,FRAUDULENT ACCOSTING,17
80,5,NEW YORK CITY HEALTH CODE,3
81,5,INTOXICATED & IMPAIRED DRIVING,27
82,5,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,51
83,5,GRAND LARCENY,407
84,5,MISCELLANEOUS PENAL LAW,210
85,5,MOVING INFRACTIONS,4
86,5,POSSESSION OF STOLEN PROPERTY 5,17
87,5,OFFENSES AGAINST THE PERSON,25
88,5,MURDER & NON-NEGL. MANSLAUGHTER,17
89,5,CRIMINAL TRESPASS,191
90,5,F.C.A. P.I.N.O.S.,129
91,5,KIDNAPPING & RELATED OFFENSES,3
92,5,ADMINISTRATIVE CODE,47
93,5,OTHER STATE LAWS (NON PENAL LA,16
94,5,OTHER STATE LAWS,715
95,5,THEFT-FRAUD,61
