,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,<18,F,539
1,1,25-44,M,23120
2,1,<18,M,2040
3,1,45-64,M,10612
4,1,65+,F,164
5,1,18-24,F,2232
6,1,65+,M,734
7,1,18-24,M,7414
8,1,45-64,F,1897
9,1,25-44,F,5156
10,2,18-24,F,2089
11,2,65+,F,53
12,2,45-64,F,1602
13,2,25-44,F,5068
14,2,<18,M,1811
15,2,45-64,M,7727
16,2,65+,M,459
17,2,18-24,M,8387
18,2,<18,F,416
19,2,25-44,M,21199
20,3,65+,M,615
21,3,65+,F,116
22,3,<18,F,545
23,3,25-44,M,25613
24,3,45-64,F,1748
25,3,<18,M,2444
26,3,18-24,M,9910
27,3,45-64,M,9566
28,3,18-24,F,2302
29,3,25-44,F,5429
30,4,<18,M,1682
31,4,65+,F,112
32,4,25-44,M,19385
33,4,<18,F,322
34,4,45-64,M,7057
35,4,18-24,M,7753
36,4,65+,M,660
37,4,45-64,F,1552
38,4,18-24,F,1672
39,4,25-44,F,4343
40,5,25-44,M,3772
41,5,25-44,F,1076
42,5,18-24,F,391
43,5,<18,M,375
44,5,45-64,F,351
45,5,18-24,M,1408
46,5,45-64,M,1431
47,5,65+,M,107
48,5,<18,F,103
49,5,65+,F,18
