,BoroCode,AgeGroup,PerpSex,CrimeCount
0,1,<18,M,2395
1,1,45-64,F,2297
2,1,18-24,F,3535
3,1,25-44,F,6454
4,1,<18,F,853
5,1,45-64,M,13765
6,1,65+,M,781
7,1,65+,F,174
8,1,25-44,M,31848
9,1,18-24,M,14094
10,2,18-24,M,13461
11,2,65+,M,384
12,2,45-64,M,9102
13,2,18-24,F,2988
14,2,25-44,F,5587
15,2,<18,F,892
16,2,45-64,F,1684
17,2,25-44,M,25541
18,2,<18,M,3110
19,2,65+,F,54
20,3,65+,M,649
21,3,65+,F,114
22,3,<18,F,937
23,3,25-44,M,33580
24,3,18-24,F,3175
25,3,<18,M,3882
26,3,18-24,M,15396
27,3,45-64,M,13000
28,3,45-64,F,2550
29,3,25-44,F,6799
30,4,<18,M,2710
31,4,25-44,M,23319
32,4,65+,F,118
33,4,65+,M,537
34,4,<18,F,602
35,4,18-24,M,11881
36,4,25-44,F,4680
37,4,45-64,F,1624
38,4,18-24,F,2298
39,4,45-64,M,7950
40,5,25-44,M,4458
41,5,<18,M,597
42,5,18-24,F,573
43,5,25-44,F,1223
44,5,45-64,F,441
45,5,<18,F,182
46,5,45-64,M,1640
47,5,18-24,M,2146
48,5,65+,M,103
49,5,65+,F,15
