,SchoolDist,OfnsDesc,CrimeCount
0,1,DANGEROUS WEAPONS,177
1,1,FORCIBLE TOUCHING,7
2,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),7
3,1,GRAND LARCENY,177
4,1,POSSESSION OF STOLEN PROPERTY,35
5,1,OFFENSES INVOLVING FRAUD,34
6,1,MISCELLANEOUS PENAL LAW,188
7,1,ADMINISTRATIVE CODE,9
8,1,SEX CRIMES,31
9,1,OTHER OFFENSES RELATED TO THEFT,346
10,1,FELONY ASSAULT,203
11,1,OTHER STATE LAWS,342
12,1,OFFENSES AGAINST THE PERSON,27
13,1,KIDNAPPING & RELATED OFFENSES,1
14,1,DANGEROUS DRUGS,1298
15,1,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",1
16,1,HARASSMENT,24
17,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,226
18,1,PROSTITUTION & RELATED OFFENSES,24
19,1,ENDAN WELFARE INCOMP,1
20,1,CHILD ABANDONMENT/NON SUPPORT 1,1
21,1,CRIMINAL MISCHIEF & RELATED OFFENSES,253
22,1,OTHER STATE LAWS (NON PENAL LAW),253
23,1,PETIT LARCENY,278
24,1,DISORDERLY CONDUCT,17
25,1,BURGLAR'S TOOLS,17
26,1,FRAUDS,12
27,1,MURDER & NON-NEGL. MANSLAUGHTER,12
28,1,ARSON,6
29,1,GRAND LARCENY OF MOTOR VEHICLE,6
30,1,OTHER STATE LAWS (NON PENAL LA,13
31,1,ASSAULT 3 & RELATED OFFENSES,558
32,1,RAPE,3
33,1,LOITERING FOR DRUG PURPOSES,2
34,1,OTHER TRAFFIC INFRACTION,66
35,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,59
36,1,FORGERY,42
37,1,CRIMINAL TRESPASS,527
38,1,POSSESSION OF STOLEN PROPERTY 5,59
39,1,NEW YORK CITY HEALTH CODE,4
40,1,BURGLARY,59
41,1,JOSTLING,2
42,1,INTOXICATED & IMPAIRED DRIVING,93
43,1,FRAUDULENT ACCOSTING,2
44,1,HARRASSMENT 2,2
45,1,THEFT-FRAUD,5
46,1,GAMBLING,4
47,1,ROBBERY,142
48,1,VEHICLE AND TRAFFIC LAWS,458
49,1,OFFENSES AGAINST PUBLIC SAFETY,3
50,1,INTOXICATED/IMPAIRED DRIVING,6
51,1,MOVING INFRACTIONS,5
52,1,F.C.A. P.I.N.O.S.,4
53,1,CRIMINAL MISCHIEF & RELATED OF,5
54,2,F.C.A. P.I.N.O.S.,336
55,2,NEW YORK CITY HEALTH CODE,12
56,2,CHILD ABANDONMENT/NON SUPPORT,1
57,2,DISRUPTION OF A RELIGIOUS SERVICE,1
58,2,OFF. AGNST PUB ORD SENSBLTY &,1
