,Precinct,OfnsDesc,CrimeCount
0,1,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,38
1,1,FRAUDULENT ACCOSTING,5
2,1,PROSTITUTION & RELATED OFFENSES,1
3,1,ALCOHOLIC BEVERAGE CONTROL LAW,1
4,1,GRAND LARCENY,189
5,1,ADMINISTRATIVE CODE,3
6,1,OTHER STATE LAWS (NON PENAL LA,3
7,1,VEHICLE AND TRAFFIC LAWS,301
8,1,HARASSMENT,5
9,1,DANGEROUS WEAPONS,54
10,1,OTHER STATE LAWS (NON PENAL LAW),319
11,1,DANGEROUS DRUGS,134
12,1,FELONY ASSAULT,49
13,1,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),4
14,1,OFFENSES RELATED TO CHILDREN,1
15,1,THEFT-FRAUD,3
16,1,OFFENSES AGAINST PUBLIC SAFETY,4
17,1,JOSTLING,1
18,1,BURGLARY,60
19,1,OTHER STATE LAWS,670
20,1,PETIT LARCENY,852
21,1,KIDNAPPING & RELATED OFFENSES,1
22,1,GRAND LARCENY OF MOTOR VEHICLE,4
23,1,POSSESSION OF STOLEN PROPERTY 5,28
24,1,BURGLAR'S TOOLS,69
25,1,OFFENSES AGAINST THE PERSON,14
26,1,MISCELLANEOUS PENAL LAW,48
27,1,OFFENSES INVOLVING FRAUD,132
28,1,CRIMINAL TRESPASS,68
29,1,FRAUDS,24
30,1,ANTICIPATORY OFFENSES,1
31,1,F.C.A. P.I.N.O.S.,5
32,1,RAPE,2
33,1,OTHER OFFENSES RELATED TO THEFT,385
34,1,FORCIBLE TOUCHING,8
35,1,POSSESSION OF STOLEN PROPERTY,40
36,1,INTOXICATED/IMPAIRED DRIVING,5
37,1,INTOXICATED & IMPAIRED DRIVING,211
38,1,ASSAULT 3 & RELATED OFFENSES,204
39,1,OTHER TRAFFIC INFRACTION,108
40,1,ROBBERY,38
41,1,OFFENSES AGAINST PUBLIC ADMINISTRATION,113
42,1,MOVING INFRACTIONS,7
43,1,DISORDERLY CONDUCT,120
44,1,FORGERY,92
45,1,SEX CRIMES,9
46,1,NEW YORK CITY HEALTH CODE,2
47,1,CRIMINAL MISCHIEF & RELATED OFFENSES,224
48,5,DANGEROUS DRUGS,476
49,5,GRAND LARCENY OF MOTOR VEHICLE,4
50,5,NEW YORK CITY HEALTH CODE,4
51,5,INTOXICATED/IMPAIRED DRIVING,4
52,5,OTHER STATE LAWS,705
53,5,OTHER STATE LAWS (NON PENAL LAW),670
54,5,HARRASSMENT 2,2
55,5,PROSTITUTION & RELATED OFFENSES,16
